board_id,year,resolutions
MCB2,2013,4
MCB2,2014,52
MCB2,2015,244
MCB2,2016,135
MCB2,2017,376
MCB2,2018,470
MCB2,2019,510
MCB2,2020,310
MCB2,2021,204
MCB2,2022,224
MCB2,2023,547
MCB2,2024,584
MCB2,2025,323
MCB2,2026,25
MCB3,2004,701
MCB3,2005,518
MCB3,2006,455
MCB3,2007,446
MCB3,2008,473
MCB3,2009,423
MCB3,2010,414
MCB3,2011,354
MCB3,2012,348
MCB3,2013,349
MCB3,2014,321
MCB3,2015,347
MCB3,2016,262
MCB3,2017,240
MCB3,2018,239
MCB3,2019,212
MCB3,2020,150
MCB3,2021,181
MCB3,2022,158
MCB3,2023,188
MCB3,2024,184
MCB3,2025,171
MCB3,2026,23
