board_id,agency,resolutions
MCB2,SLA (State Liquor Authority),2151
MCB2,DOT (Dept of Transportation),164
MCB2,NYPD,139
MCB2,NYC Council,1368
MCB2,NYC Parks,31
MCB2,Borough President,1379
MCB2,DOB (Dept of Buildings),27
MCB2,DCP (Dept of City Planning),40
MCB2,HPD (Housing Preservation & Development),15
MCB2,Mayor's Office,443
MCB2,EDC (Economic Development Corp),7
MCB2,MTA,29
MCB2,LPC (Landmarks Preservation),433
MCB2,DEP (Dept of Environmental Protection),10
MCB2,FDNY,36
MCB3,SLA (State Liquor Authority),2493
MCB3,DOT (Dept of Transportation),465
MCB3,NYPD,363
MCB3,NYC Council,213
MCB3,NYC Parks,176
MCB3,Borough President,107
MCB3,DOB (Dept of Buildings),101
MCB3,DCP (Dept of City Planning),87
MCB3,HPD (Housing Preservation & Development),78
MCB3,Mayor's Office,102
MCB3,EDC (Economic Development Corp),61
MCB3,MTA,68
MCB3,LPC (Landmarks Preservation),53
MCB3,DEP (Dept of Environmental Protection),44
MCB3,FDNY,30
