board_id,topic,resolutions
MCB2,Liquor License / SLA,2260
MCB2,Landmarks & Historic Preservation,234
MCB2,Transportation & Streets,337
MCB2,Parks & Open Space,114
MCB2,Housing & Zoning,62
MCB2,Public Safety,43
MCB2,Environment & Waterfront,14
MCB2,City Planning,2
MCB2,Budget & Funding,17
MCB2,Education & Schools,37
MCB3,Liquor License / SLA,3345
MCB3,Landmarks & Historic Preservation,100
MCB3,Transportation & Streets,503
MCB3,Parks & Open Space,470
MCB3,Housing & Zoning,285
MCB3,Public Safety,103
MCB3,Environment & Waterfront,45
MCB3,City Planning,6
MCB3,Budget & Funding,198
MCB3,Education & Schools,18
