board,borough,fy2027_adopted_budget
Manhattan CB 10,Manhattan,514822
Manhattan CB 6,Manhattan,481762
Manhattan CB 7,Manhattan,476493
Manhattan CB 8,Manhattan,473952
Bronx CB 9,Bronx,453870
Manhattan CB 3,Manhattan,451596
Manhattan CB 12,Manhattan,450041
Manhattan CB 4,Manhattan,449041
Staten Island CB 3,Staten Island,432660
Manhattan CB 9,Manhattan,431952
Brooklyn CB 14,Brooklyn,425845
Brooklyn CB 9,Brooklyn,421418
Manhattan CB 5,Manhattan,421019
Queens CB 2,Queens,416566
Brooklyn CB 13,Brooklyn,414056
Manhattan CB 11,Manhattan,410575
Queens CB 8,Queens,407127
Brooklyn CB 17,Brooklyn,403279
Queens CB 3,Queens,401524
Bronx CB 2,Bronx,399815
Brooklyn CB 6,Brooklyn,399467
Bronx CB 7,Bronx,398834
Queens CB 7,Queens,394912
Brooklyn CB 1,Brooklyn,393231
Brooklyn CB 10,Brooklyn,392890
Manhattan CB 2,Manhattan,391085
Queens CB 6,Queens,385645
Brooklyn CB 11,Brooklyn,383858
Brooklyn CB 12,Brooklyn,383723
Bronx CB 10,Bronx,383130
Brooklyn CB 8,Brooklyn,380585
Queens CB 11,Queens,377984
Bronx CB 11,Bronx,372726
Queens CB 12,Queens,371442
Staten Island CB 1,Staten Island,369744
Bronx CB 1,Bronx,366943
Brooklyn CB 2,Brooklyn,365767
Bronx CB 8,Bronx,365715
Queens CB 4,Queens,361481
Queens CB 13,Queens,358205
Queens CB 5,Queens,353468
Brooklyn CB 4,Brooklyn,345739
Queens CB 1,Queens,341878
Queens CB 10,Queens,340680
Bronx CB 3,Bronx,340425
Staten Island CB 2,Staten Island,325687
Brooklyn CB 3,Brooklyn,320444
Bronx CB 4,Bronx,313241
Brooklyn CB 16,Brooklyn,313065
Queens CB 14,Queens,305806
Manhattan CB 1,Manhattan,302305
Brooklyn CB 7,Brooklyn,301427
Bronx CB 6,Bronx,297220
Bronx CB 12,Bronx,296002
Brooklyn CB 5,Brooklyn,292874
Queens CB 9,Queens,292231
Brooklyn CB 18,Brooklyn,292201
Bronx CB 5,Bronx,282857
Brooklyn CB 15,Brooklyn,280971
