Tax Name,Category,Rate (%),Applied To
NYC PIT — bottom bracket (up to $12K),Personal Income Tax,3.078,NYC taxable income (single filers)
NYC PIT — second bracket ($12K–$25K),Personal Income Tax,3.762,NYC taxable income (single filers)
NYC PIT — third bracket ($25K–$50K),Personal Income Tax,3.819,NYC taxable income (single filers)
NYC PIT — top rate (over $50K),Personal Income Tax,3.876,NYC taxable income (single filers)
NYC Business Corporation Tax,Business Tax,8.85,NYC-allocated business income
NYC Unincorporated Business Tax,Business Tax,4.0,Net income of NYC partnerships and sole proprietors
NYC Commercial Rent Tax,Commercial/Excise,6.0,Gross rent for Manhattan commercial space south of 96th St
NYC Hotel Room Occupancy Tax,Commercial/Excise,5.875,Room rate (plus $1.50/night flat fee)
NYC Real Property Transfer Tax (residential $500K+),Transaction Tax,1.425,Residential sale price over $500K
NYC Real Property Transfer Tax (commercial or 4+ units $500K+),Transaction Tax,2.625,Commercial or 4+ unit residential sale price over $500K
NYC Property Tax — Class 1 (1-3 family homes),Property Tax,19.843,Assessed value (not market value)
NYC Property Tax — Class 2 (apartments/co-ops/condos),Property Tax,12.439,Assessed value (not market value)
NYC Property Tax — Class 3 (utility property),Property Tax,11.108,Assessed value (not market value)
NYC Property Tax — Class 4 (commercial/industrial),Property Tax,10.848,Assessed value (not market value)
Wealth Tax,Wealth Tax,N/A,Not currently in effect in NYC
