Project,Borough,Decade,New_Stations,New_Miles,Total_Housing_Units,Affordable_Units,Pct_Affordable,Cost_Billion_2025USD,Flagship,Primary_Bus_Route,Weekday_Bus_Ridership
Utica Avenue Line,Brooklyn,1,8,,17314,1458,8.4,5.9,yes,B46 SBS,44000
SAS Phase 2 Western (125th St),Manhattan,1,3,,15007,5675,37.8,3.4,no,"M60, M100, Bx15",
QueensLink (Rockaway Branch),Queens,1,4,,4806,393,8.2,2.8,no,Woodhaven Blvd (Q52/Q53),31000
Long Island Expressway Line,Queens,2,10,8.8,32053,9847,30.7,7.1,yes,,
(6) Ext. to Co-op City,Bronx,2,2,1.3,1100,113,10.3,1.0,no,,
(F) Ext. to Queens Village,Queens,2,4,2.3,7407,183,2.5,3.1,no,Hillside Ave (9 routes),59000
Second Ave Ph3 & Ph4,Manhattan,3,10,4.8,19985,4872,24.4,9.3,yes,M15 (1st/2nd Ave),46000
(7) Ext. to East Flushing,Queens,3,2,1.5,7604,1013,13.3,2.3,no,,
(E) Ext. to Laurelton-Springfield,Queens,3,5,3.4,18245,4288,23.5,1.7,no,"Guy Brewer, Merrick Blvd",46000
Cross-Bronx Express Line,Bronx,4,11,5.0,35903,10660,29.7,6.4,yes,Bx12 SBS + Local,40000
(N) Ext. to LaGuardia Airport,Queens,4,5,3.2,1060,0,0.0,2.5,no,,
IBX Ext. to Astoria,Queens,4,3,2.3,6580,263,4.0,2.4,no,"Q18, Q33, Q47",24000
