Agency,Label_Short,MCB3_Resolutions,Pct_MCB3,Complaints_311,Pct_311,In_Both
State Liquor Authority,SLA,2285,59.7,0,0.0,No
NYPD,NYPD,368,9.6,320833,49.2,Yes
NYC Council,NYC Council,207,5.4,0,0.0,No
Department of Transportation,DOT,440,11.5,14682,2.3,Yes
NYC Parks,Parks,128,3.3,9759,1.5,Yes
Department of City Planning,DCP,84,2.2,0,0.0,No
Department of Buildings,DOB,93,2.4,10683,1.6,Yes
Housing Preservation & Development,HPD,66,1.7,230114,35.3,Yes
MTA,MTA,56,1.5,0,0.0,No
Department of Environmental Protection,DEP,31,0.8,28196,4.3,Yes
Landmarks Preservation Commission,LPC,45,1.2,0,0.0,No
FDNY,FDNY,25,0.7,0,0.0,No
Department of Sanitation,Sanitation,0,0.0,23715,3.6,No
Dept of Health & Mental Hygiene,DOHMH,0,0.0,11880,1.8,No
Department of Homeless Services,DHS,0,0.0,2822,0.4,No
