Year,Total,Liquor License / SLA,Transportation & Streets,Parks & Open Space,Housing & Zoning,Budget & Funding,Environment & Waterfront,Public Safety,Education & Schools,City Planning,Landmarks & Historic Preservation,Other / Unclassified
2004,605,152,13,1,4,0,0,2,0,3,0,430
2005,435,85,12,5,6,0,2,2,1,3,0,319
2006,433,119,10,7,6,1,0,2,0,9,1,282
2007,424,147,11,7,13,0,3,1,1,5,2,237
2008,451,189,10,8,7,6,0,2,0,6,0,225
2009,395,221,15,9,7,5,2,2,0,2,1,132
2010,390,207,19,7,4,10,4,0,1,3,0,137
2011,323,91,4,4,1,2,4,0,0,2,0,215
2012,323,85,8,5,0,3,0,0,0,3,0,219
2013,328,74,7,8,3,4,2,2,0,2,1,226
2014,298,14,4,5,5,4,0,0,0,2,0,265
2015,325,2,7,6,8,2,0,1,0,3,0,297
2016,240,7,7,7,12,1,1,0,1,1,0,204
2017,218,2,6,5,7,1,0,0,0,1,0,197
2018,215,6,3,6,2,1,1,0,0,5,3,188
2019,190,1,4,8,5,1,0,0,0,7,2,166
2020,126,1,2,4,4,0,0,2,0,2,1,112
2021,159,5,2,5,1,1,1,0,0,4,3,139
2022,135,3,9,2,1,0,0,0,1,0,0,119
2023,166,9,2,2,1,0,0,0,0,1,0,151
2024,161,2,3,3,0,0,0,1,0,0,0,152
2025,149,1,1,6,1,0,0,0,1,1,0,139
