State,Provider percentile,Cumulative share of dollars (percent)
CA,1,0.0
CA,2,0.0
CA,3,0.0
CA,4,0.0
CA,5,0.0
CA,6,0.0
CA,7,0.0
CA,8,0.0
CA,9,0.0
CA,10,0.0
CA,11,0.0
CA,12,0.0
CA,13,0.0
CA,14,0.0
CA,15,0.0
CA,16,0.01
CA,17,0.01
CA,18,0.01
CA,19,0.01
CA,20,0.01
CA,21,0.01
CA,22,0.02
CA,23,0.02
CA,24,0.02
CA,25,0.02
CA,26,0.03
CA,27,0.03
CA,28,0.03
CA,29,0.04
CA,30,0.04
CA,31,0.05
CA,32,0.06
CA,33,0.06
CA,34,0.07
CA,35,0.08
CA,36,0.09
CA,37,0.1
CA,38,0.11
CA,39,0.12
CA,40,0.13
CA,41,0.15
CA,42,0.16
CA,43,0.18
CA,44,0.2
CA,45,0.22
CA,46,0.24
CA,47,0.26
CA,48,0.29
CA,49,0.32
CA,50,0.35
CA,51,0.38
CA,52,0.42
CA,53,0.46
CA,54,0.5
CA,55,0.54
CA,56,0.59
CA,57,0.65
CA,58,0.7
CA,59,0.77
CA,60,0.83
CA,61,0.91
CA,62,0.99
CA,63,1.07
CA,64,1.17
CA,65,1.27
CA,66,1.38
CA,67,1.5
CA,68,1.63
CA,69,1.77
CA,70,1.92
CA,71,2.09
CA,72,2.27
CA,73,2.47
CA,74,2.69
CA,75,2.94
CA,76,3.2
CA,77,3.5
CA,78,3.82
CA,79,4.17
CA,80,4.57
CA,81,5.01
CA,82,5.5
CA,83,6.04
CA,84,6.66
CA,85,7.35
CA,86,8.13
CA,87,9.02
CA,88,10.04
CA,89,11.22
CA,90,12.6
CA,91,14.2
CA,92,16.08
CA,93,18.29
CA,94,20.92
CA,95,24.13
CA,96,28.21
CA,97,33.49
CA,98,40.6
CA,99,51.91
CA,100,100.0
NY,1,0.0
NY,2,0.0
NY,3,0.0
NY,4,0.0
NY,5,0.0
NY,6,0.0
NY,7,0.0
NY,8,0.0
NY,9,0.0
NY,10,0.0
NY,11,0.0
NY,12,0.0
NY,13,0.0
NY,14,0.0
NY,15,0.0
NY,16,0.0
NY,17,0.0
NY,18,0.0
NY,19,0.0
NY,20,0.01
NY,21,0.01
NY,22,0.01
NY,23,0.01
NY,24,0.01
NY,25,0.01
NY,26,0.01
NY,27,0.01
NY,28,0.01
NY,29,0.01
NY,30,0.02
NY,31,0.02
NY,32,0.02
NY,33,0.02
NY,34,0.02
NY,35,0.03
NY,36,0.03
NY,37,0.03
NY,38,0.03
NY,39,0.04
NY,40,0.04
NY,41,0.04
NY,42,0.05
NY,43,0.05
NY,44,0.06
NY,45,0.06
NY,46,0.07
NY,47,0.07
NY,48,0.08
NY,49,0.08
NY,50,0.09
NY,51,0.1
NY,52,0.11
NY,53,0.12
NY,54,0.13
NY,55,0.14
NY,56,0.15
NY,57,0.16
NY,58,0.18
NY,59,0.19
NY,60,0.21
NY,61,0.22
NY,62,0.24
NY,63,0.26
NY,64,0.29
NY,65,0.31
NY,66,0.34
NY,67,0.37
NY,68,0.4
NY,69,0.44
NY,70,0.48
NY,71,0.52
NY,72,0.57
NY,73,0.63
NY,74,0.69
NY,75,0.75
NY,76,0.82
NY,77,0.9
NY,78,0.99
NY,79,1.09
NY,80,1.2
NY,81,1.32
NY,82,1.46
NY,83,1.62
NY,84,1.79
NY,85,1.99
NY,86,2.21
NY,87,2.47
NY,88,2.78
NY,89,3.13
NY,90,3.55
NY,91,4.05
NY,92,4.66
NY,93,5.43
NY,94,6.4
NY,95,7.68
NY,96,9.44
NY,97,12.03
NY,98,16.38
NY,99,25.95
NY,100,100.0
TX,1,0.0
TX,2,0.0
TX,3,0.0
TX,4,0.0
TX,5,0.0
TX,6,0.0
TX,7,0.0
TX,8,0.0
TX,9,0.0
TX,10,0.0
TX,11,0.0
TX,12,0.0
TX,13,0.01
TX,14,0.01
TX,15,0.01
TX,16,0.01
TX,17,0.01
TX,18,0.01
TX,19,0.01
TX,20,0.02
TX,21,0.02
TX,22,0.02
TX,23,0.03
TX,24,0.03
TX,25,0.04
TX,26,0.04
TX,27,0.05
TX,28,0.05
TX,29,0.06
TX,30,0.07
TX,31,0.07
TX,32,0.08
TX,33,0.09
TX,34,0.11
TX,35,0.12
TX,36,0.13
TX,37,0.14
TX,38,0.16
TX,39,0.18
TX,40,0.2
TX,41,0.22
TX,42,0.24
TX,43,0.26
TX,44,0.29
TX,45,0.32
TX,46,0.35
TX,47,0.39
TX,48,0.42
TX,49,0.47
TX,50,0.51
TX,51,0.56
TX,52,0.61
TX,53,0.66
TX,54,0.72
TX,55,0.79
TX,56,0.86
TX,57,0.93
TX,58,1.01
TX,59,1.1
TX,60,1.2
TX,61,1.3
TX,62,1.41
TX,63,1.53
TX,64,1.67
TX,65,1.81
TX,66,1.96
TX,67,2.13
TX,68,2.32
TX,69,2.52
TX,70,2.73
TX,71,2.97
TX,72,3.22
TX,73,3.5
TX,74,3.8
TX,75,4.13
TX,76,4.49
TX,77,4.89
TX,78,5.32
TX,79,5.79
TX,80,6.3
TX,81,6.87
TX,82,7.49
TX,83,8.18
TX,84,8.93
TX,85,9.78
TX,86,10.72
TX,87,11.79
TX,88,12.98
TX,89,14.34
TX,90,15.87
TX,91,17.64
TX,92,19.69
TX,93,22.1
TX,94,24.95
TX,95,28.41
TX,96,32.73
TX,97,38.25
TX,98,45.72
TX,99,57.73
TX,100,100.0
