Month,Paid (dollars),Claim lines
2018-01,164876,3146
2018-02,190389,3746
2018-03,207999,4249
2018-04,220295,4836
2018-05,179775,3898
2018-06,153937,3007
2018-07,158671,3241
2018-08,197377,4122
2018-09,228907,4721
2018-10,246348,5012
2018-11,124644,2725
2018-12,151228,3285
2019-01,181683,3962
2019-02,146763,3183
2019-03,197175,4126
2019-04,98064,2606
2019-05,116528,2761
2019-06,154119,3469
2019-07,119719,2814
2019-08,154743,3580
2019-09,181245,4215
2019-10,200626,4394
2019-11,198489,4306
2019-12,185366,4052
2020-01,263247,4918
2020-02,255780,5038
2020-03,191005,3639
2020-04,153879,2682
2020-05,227557,3992
2020-06,334009,5753
2020-07,412020,7145
2020-08,435447,7681
2020-09,427221,7868
2020-10,425580,8174
2020-11,402550,7975
2020-12,386071,7935
2021-01,380933,7714
2021-02,417762,8089
2021-03,482718,9794
2021-04,503048,9609
2021-05,526249,9478
2021-06,551894,9803
2021-07,548675,9151
2021-08,456118,7899
2021-09,303940,5782
2021-10,401418,8023
2021-11,415950,8212
2021-12,332966,6394
2022-01,379708,7138
2022-02,352614,6937
2022-03,397557,8173
2022-04,399783,8455
2022-05,347278,7503
2022-06,388370,8035
2022-07,397549,7927
2022-08,404076,8766
2022-09,488311,9733
2022-10,481076,9719
2022-11,561180,11698
2022-12,515972,10405
2023-01,584277,11133
2023-02,597696,11625
2023-03,717081,13538
2023-04,634334,11980
2023-05,747606,14000
2023-06,653603,13222
2023-07,713059,13726
2023-08,678162,13363
2023-09,646654,12886
2023-10,664635,12851
2023-11,695500,12628
2023-12,651838,11955
2024-01,851769,15002
2024-02,625119,11573
2024-03,661936,11773
2024-04,771860,13915
2024-05,771854,13825
2024-06,711512,13187
2024-07,843842,15510
2024-08,728200,13574
2024-09,648625,12235
2024-10,701778,13089
2024-11,303494,5297
