State,Provider,NPI,Specialty,Year,Prior year paid (dollars),Paid (dollars),Growth multiple
NY,CITY OF NEW YORK,1104981356,Local Education Agency (LEA),2019,122759,34398503,280.2
TX,BERRY FAMILY SERVICES,1639299274,Case Management Agency,2021,173904,23528617,135.3
TX,"ST. GILES LIVING CENTERS, INC.",1194893180,Intellectual and/or Developmental Disabilities Community Based Residential Treatment Facility,2021,122920,13030973,106.0
CA,"EASTER SEALS SOUTHERN CALIFORNIA, INC",1619255841,Behavior Analyst,2021,194399,20591677,105.9
CA,"SUNTERRA HEALTH, INC.",1619624616,Home Delivered Meals,2023,233325,23789131,102.0
NY,HUMAN CARE SERVICES FOR FAMILIES AND CHILDREN INC,1730369760,Community/Behavioral Health Agency,2022,977006,89692731,91.8
TX,LIFETIME LIVING INC.,1215130497,Case Management Agency,2021,187425,14505855,77.4
NY,"CHHUNY, LLC",1447641493,Case Management Agency,2019,218571,16711711,76.5
NY,COMMUNITY ASSISTANCE RESOURCES & EXTENDED SERVICES INC,1396049987,Case Management Agency,2021,1612461,112640024,69.9
TX,GENTECH LABORATORIES LLC,1518406636,Clinical Medical Laboratory,2022,144269,10067496,69.8
NY,"HAMASPIK OF KINGS COUNTY, INC.",1700120888,Home Modifications Contractor,2020,147230,9552634,64.9
TX,APPLE HOMECARE MEDICAL SUPPLY LLC,1649259797,Durable Medical Equipment & Medical Supplies,2020,125008,7918216,63.3
NY,YEDEI CHESED INC,1144423831,Child Intellectual and/or Developmental Disabilities Respite Care,2023,222057,14013525,63.1
CA,CELEBRATING LIFE COMMUNITY HEALTH CENTER,1841913951,Federally Qualified Health Center (FQHC),2024,103937,6165918,59.3
CA,SIGNAL DIAGNOSTICS LLC,1114431087,Clinical Medical Laboratory,2021,272230,15259193,56.1
CA,CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC,1558852947,Federally Qualified Health Center (FQHC),2020,119739,6258850,52.3
CA,"INFUSION AND CLINICAL SERVICES, INC",1588153126,Social Worker,2022,109565,5725327,52.3
NY,TRADITION CHOICE,1568910677,Home Health Agency,2022,773235,39895132,51.6
CA,KAISER FOUNDATION HOSPITALS,1710116116,General Acute Care Hospital,2024,192536,9569802,49.7
TX,DAYBREAK COMMUNITY SERVICES TEXAS LLC,1437534559,Community/Behavioral Health Agency,2021,1117629,54285690,48.6
NY,NYC DEPARTMENT OF EDUCATION,1316338254,Local Education Agency (LEA),2019,157905,7569540,47.9
NY,JEWISH BOARD OF FAMILY & CHILDRENS SERVICES INC,1689755662,Community/Behavioral Health Agency,2019,169949,7863712,46.3
TX,TEXAS CHILDREN'S PHYSICIAN GROUP,1861675506,Pediatrics Physician,2020,163622,7227981,44.2
CA,WELLSPACE HEALTH,1669982237,Dental Clinic/Center,2024,925278,39288192,42.5
NY,"GREATER ROCHESTER HEALTH HOME NETWORK, LLC",1740554229,Case Management Agency,2019,106030,4274086,40.3
CA,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,1952333460,Health Maintenance Organization,2024,419848,15467592,36.8
CA,MD TOX LABORATORY,1174882948,Molecular Genetic Pathology (Medical Genetics) Physician,2021,136259,5008074,36.8
NY,HELP HOME HEALTH CARE AGENCY LLC,1164760468,Home Health Agency,2022,211715,7544243,35.6
NY,SUNY HEALTH SCIENCE CENTER AT SYRACUSE,1578554630,Peritoneal Dialysis Registered Nurse,2019,260400,9265869,35.6
NY,"CENTERLIGHT HEALTHCARE, INC.",1932227790,PACE Provider Organization,2019,113674,4044763,35.6
CA,COUNTY OF LAKE,1720292329,Community/Behavioral Health Agency,2023,153211,5372480,35.1
CA,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,1316979834,Health Maintenance Organization,2024,385790,13190187,34.2
CA,COUNTY OF PLACER,1457478216,Case Manager/Care Coordinator,2022,103082,3494823,33.9
NY,FAMILY HOME HEALTH CARE INC,1033298948,Home Health Agency,2019,142793,4821613,33.8
CA,"PREMIER HEALTHCARE SERVICES, LLC",1275764417,Home Health Agency,2019,140765,4668727,33.2
CA,"MVML, INC.",1790386746,Clinical Medical Laboratory,2022,760758,24816971,32.6
NY,LICENSED BEHAVIOR ANALYST PROFESSIONAL SERVICES PLLC,1427502939,Behavior Analyst,2024,215559,6999457,32.5
NY,EOM MANAGEMENT LLC,1255805404,Home Health Agency,2024,161968,4936638,30.5
CA,CA CARE COORDINATORS LTD,1588361158,Case Management Agency,2024,437492,13261235,30.3
NY,ALWAYS COMPASSIONATE HOME CARE INC,1790243434,Home Health Agency,2020,229040,6860626,30.0
NY,NYU LANGONE HOSPITALS,1437230034,Oncology Clinic/Center,2019,217489,6454703,29.7
NY,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1073535027,Internal Medicine Physician,2019,305998,8780023,28.7
TX,"KARA LIVING CENTERS, INC",1417002346,Mental Health Counselor,2022,133064,3814094,28.7
NY,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1033124961,Internal Medicine Physician,2019,214858,6091016,28.3
TX,DARIA BABINEAUX MD PA,1124312749,Pediatrics Physician,2021,217967,6177051,28.3
CA,UNITED HEALTH CENTERS OF THE SAN JOAQUIN VALLEY,1265087316,Case Manager/Care Coordinator,2021,140926,3848225,27.3
NY,DAY DAY HAPPY SOCIAL DAYCARE INC,1891460747,Adult Day Care Clinic/Center,2022,191292,5219138,27.3
NY,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1124032982,Internal Medicine Physician,2019,238842,6133549,25.7
NY,"VISITING NURSING ASSOCIATION OF WESTERN NEW YORK, INC.",1730268384,Home Health Agency,2019,239112,6114833,25.6
NY,CENTREK TRANSPORTATION LLC,1669030615,Non-emergency Medical Transport (VAN),2020,477289,11993893,25.1
CA,PERMANENTE MEDICAL GROUP INC,1073606299,Anesthesiology Physician,2024,281343,6784931,24.1
NY,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1356406136,Internal Medicine Physician,2019,128229,3086532,24.1
NY,NIAGARA FALLS MEMORIAL MEDICAL CENTER,1285717298,Case Management Agency,2019,281185,6710767,23.9
CA,"POST ACUTE CARE PARTNERS, INC",1265100176,In Home Supportive Care Agency,2023,136762,3138568,22.9
CA,VIA CARE COMMUNITY HEALTH CENTER,1962098640,Case Manager/Care Coordinator,2024,347303,7961701,22.9
NY,FOUR SEASON MEDICAL PLLC,1447785316,Specialist,2022,170856,3911779,22.9
CA,SERENITY CARE HEALTH GROUP,1245623156,Chiropractor,2024,191404,4381157,22.9
NY,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1023024882,Internal Medicine Physician,2019,149212,3390774,22.7
NY,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC.,1629087580,General Acute Care Hospital,2019,141038,3110794,22.1
CA,KINGS COUNTY BEHAVIORAL HEALTH,1750715801,Community/Behavioral Health Agency,2023,348599,7616803,21.8
CA,"EL PROYECTO DEL BARRIO, INC.",1154730828,Federally Qualified Health Center (FQHC),2020,698390,15235490,21.8
CA,ILLUMINATION HEALTH AND HOME,1013256213,Case Manager/Care Coordinator,2022,169400,3675703,21.7
NY,"SUFFOLK PRIMARY HEALTH, LLC",1174965727,Multi-Specialty Clinic/Center,2022,209756,4521493,21.6
NY,INTEGRATED DIAGNOSTIC IMAGING & CARDIOLOGY OF STATEN ISLAND P.C.,1174537948,Cardiovascular Disease Physician,2021,160068,3376128,21.1
NY,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1063426377,Internal Medicine Physician,2019,427847,8725129,20.4
CA,COMMUNITY HEALTH CENTERS OF THE CENTRAL COAST INC,1003462102,Federally Qualified Health Center (FQHC),2021,290584,5781531,19.9
NY,"COMMUNITY HEALTHCARE NETWORK, INC",1952518078,Case Management Agency,2019,291342,5724519,19.6
TX,"CENTURY INTEGRATED PARTNERS, INC",1447615711,Emergency Medicine Physician,2021,250877,4879802,19.5
CA,COMMUNITY MEDICAL CENTERS INC,1700373008,Federally Qualified Health Center (FQHC),2019,170056,3286859,19.3
TX,METHODIST HEALTH CENTERS,1871619254,Ambulatory Surgical Clinic/Center,2021,201813,3899810,19.3
NY,QUEENS COORDINATED CARE PARTNERS,1215292305,Case Management Agency,2019,314274,6030554,19.2
CA,NURTURING CARE LLC,1376229872,Counselor,2024,183721,3500118,19.1
NY,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1013924372,Internal Medicine Physician,2019,280443,5291178,18.9
NY,NEW YORK PSYCHOTHERAPY AND COUNSELING CENTER,1902811342,Community/Behavioral Health Agency,2019,774042,14501664,18.7
CA,PERMANENTE MEDICAL GROUP INC,1235226531,Anesthesiology Physician,2024,1579698,29586010,18.7
NY,"AMERICARE CERTIFIED SPECIAL SERVICES, INC.",1770513145,Home Health Agency,2024,3304481,61377398,18.6
CA,"CHERISH HOSPICE, INC.",1104451228,Community Based Hospice Care Agency,2024,245507,4542211,18.5
NY,BETH ISRAEL MEDICAL CENTER,1174689665,Psychiatric Hospital Unit,2019,1161612,21392199,18.4
NY,MOUNT SINAI HOSPITAL,1245248939,General Acute Care Hospital,2019,288613,5305431,18.4
CA,KAISER FOUNDATION HOSPITALS,1295880912,General Acute Care Hospital,2019,229666,4176322,18.2
CA,GOLDEN STAR LABS LLC,1265182984,Clinical Medical Laboratory,2023,491589,8923218,18.2
CA,ANAND NARAYAN MD INC,1477177210,Rural Health Clinic/Center,2022,220579,3992898,18.1
CA,WILMINGTON URGENT CARE AND FAMILY CLINIC INC,1972863611,Urgent Care Clinic/Center,2022,215936,3894432,18.0
CA,UNITED HEALTH CENTERS OF THE SAN JOAQUIN VALLEY,1780220822,Case Manager/Care Coordinator,2021,252471,4541964,18.0
NY,ALBANY MEDICAL COLLEGE,1497921688,Clinical Social Worker,2024,290691,5164680,17.8
