State,NPI,Provider,City,Specialty,Total paid (dollars),2018,2019,2020,2021,2022,2023,2024
NY,1417262056,Public Partnerships LLC,Latham,Case Management Agency,7189224069,653171621,808790368,844802439,1073536952,1251512740,1323118763,1234291186
CA,1699703827,Los Angeles County Department Of Mental Health,Los Angeles,Mental Health Clinic/Center (Including Community Mental Health Center),6778307307,925648474,928381083,960157325,873412258,891844269,1213952278,984911620
NY,1922467554,Freedom Care LLC,New Hyde Park,Home Health Agency,3025558256,95826483,169149827,276929416,379778033,539758172,758786052,805330273
CA,1528263910,County Of Santa Clara,San Jose,Community/Behavioral Health Agency,1728488470,211007051,185470722,265004633,343170396,291154130,272716564,159964975
NY,1962650622,American Business Institute Corp,Flushing,Home Health Agency,1682387584,145951763,193051722,238563740,252532098,272347119,294742233,285198910
NY,1720151046,Premier Home Health Care Services Inc,New York,Home Health Agency,1476253393,164387162,202321072,262927080,238175394,226040289,211378899,171023498
NY,1396051694,Assistcarehome Healthcare Services,Brooklyn,Home Health Agency,1442351848,68684284,141334241,199184114,210081914,265932666,294487305,262647324
CA,1447261540,County Of Riverside,Riverside,Community/Behavioral Health Agency,1398872947,154778983,162533103,158502416,160175662,170027924,302944942,289909917
CA,1417099789,City & County Of San Francisco,San Francisco,Community/Behavioral Health Agency,1344107027,277000572,181334571,169871968,176208823,191932418,205968717,141789957
CA,1700090834,Los Angeles County Department Of Public Health,Alhambra,Public Health or Welfare Agency,1124767125,106404495,144859287,169842107,182902420,193550516,201278307,125929993
NY,1780816991,Nae Edison LLC,Brooklyn,Home Health Agency,1107194094,62849790,108070899,136577725,140959713,174128324,227715635,256892008
NY,1275657553,"Heart To Heart Home Care, Inc.",Brooklyn,Home Health Agency,1101805508,67598250,114921120,147644289,152514954,173196119,218588456,227342322
NY,1376097303,Marks Homecare Agency Inc,Corona,In Home Supportive Care Agency,1081433654,8209098,35058311,67435691,126080964,179462094,315978027,349209468
NY,1083783013,"New Partners, Inc",New York,Home Health Agency,1077338913,114154764,85730792,203320647,176856791,163138898,171513748,162623274
CA,1659402303,Alameda County Behavioral Health Care,Oakland,Community/Behavioral Health Agency,1068135217,162808879,161705520,159310450,172261080,188244339,186658088,37146863
NY,1184703415,"Concepts Of Independence, Inc.",New York,Home Health Agency,1061895503,117040334,152314130,186415436,170272483,147124002,156985095,131744023
CA,1194934471,County Of San Bernardino,San Bernardino,Mental Health Clinic/Center (Including Community Mental Health Center),1053412935,89454773,107230219,116925645,177662716,179605076,213527208,169007298
NY,1396049987,Community Assistance Resources & Extended Services Inc,New York,Case Management Agency,1042800867,0,77059,1612461,112640024,486079756,297627471,144764096
NY,1518049485,Health Acquisition Corp.,Forest Hills,Home Health Agency,1025571708,92009023,162879673,181080522,159835332,150372519,153336251,126058389
NY,1457410904,"Caring Professionals, Inc",Forest Hills,Home Health Agency,953479646,96488534,131776597,140362646,135573691,140182174,157579052,151516952
NY,1952476988,Montefiore Medical Center,Bronx,General Acute Care Hospital,952875134,24119837,74508617,135890525,150892803,211254229,216783049,139426072
CA,1043386659,County Of Sacramento,Sacramento,Case Manager/Care Coordinator,903118399,98298597,109478684,127377603,124163923,115363219,154750347,173686025
NY,1871821710,Platinum Home Health Care Inc.,Brooklyn,Home Health Agency,865869712,29575737,75666789,112562670,138425260,142504449,180292348,186842459
TX,1053321869,"Girling Health Care, Inc.",Austin,Home Modifications Contractor,858150619,51433402,52721276,95811653,174109376,169759831,161947109,152367972
NY,1033571658,C And T Homecare Services LLC,Great Neck,In Home Supportive Care Agency,848194230,12936336,46180646,79980881,105260907,150000781,224782707,229051971
