NPI,State,Provider,City,Specialty
1417262056,NY,Public Partnerships LLC,Latham,Case Management Agency
1699703827,CA,Los Angeles County Department Of Mental Health,Los Angeles,Mental Health Clinic/Center (Including Community Mental Health Center)
1922467554,NY,Freedom Care LLC,New Hyde Park,Home Health Agency
1528263910,CA,County Of Santa Clara,San Jose,Community/Behavioral Health Agency
1962650622,NY,American Business Institute Corp,Flushing,Home Health Agency
1720151046,NY,Premier Home Health Care Services Inc,New York,Home Health Agency
1396051694,NY,Assistcarehome Healthcare Services,Brooklyn,Home Health Agency
1447261540,CA,County Of Riverside,Riverside,Community/Behavioral Health Agency
1417099789,CA,City & County Of San Francisco,San Francisco,Community/Behavioral Health Agency
1700090834,CA,Los Angeles County Department Of Public Health,Alhambra,Public Health or Welfare Agency
1780816991,NY,Nae Edison LLC,Brooklyn,Home Health Agency
1275657553,NY,"Heart To Heart Home Care, Inc.",Brooklyn,Home Health Agency
1376097303,NY,Marks Homecare Agency Inc,Corona,In Home Supportive Care Agency
1083783013,NY,"New Partners, Inc",New York,Home Health Agency
1659402303,CA,Alameda County Behavioral Health Care,Oakland,Community/Behavioral Health Agency
1184703415,NY,"Concepts Of Independence, Inc.",New York,Home Health Agency
1194934471,CA,County Of San Bernardino,San Bernardino,Mental Health Clinic/Center (Including Community Mental Health Center)
1396049987,NY,Community Assistance Resources & Extended Services Inc,New York,Case Management Agency
1518049485,NY,Health Acquisition Corp.,Forest Hills,Home Health Agency
1457410904,NY,"Caring Professionals, Inc",Forest Hills,Home Health Agency
1952476988,NY,Montefiore Medical Center,Bronx,General Acute Care Hospital
1043386659,CA,County Of Sacramento,Sacramento,Case Manager/Care Coordinator
1871821710,NY,Platinum Home Health Care Inc.,Brooklyn,Home Health Agency
1053321869,TX,"Girling Health Care, Inc.",Austin,Home Modifications Contractor
1033571658,NY,C And T Homecare Services LLC,Great Neck,In Home Supportive Care Agency
1801060363,NY,"Home Family Care, Inc",Brooklyn,Home Health Agency
1730438706,NY,Human Care LLC,Brooklyn,Home Health Agency
1104963347,CA,County Of Orange,Santa Ana,Case Management Agency
1770022691,NY,"A & J Staffing, Inc",Brooklyn,Home Health Agency
1457562811,NY,"S & A Unified Home Care, Inc.",Brooklyn,Home Health Agency
1528338282,NY,All American Homecare Agency Inc.,Brooklyn,Home Health Agency
1447393319,NY,"Special Touch Home Care Services, Inc.",Brooklyn,Home Health Agency
1528315397,NY,Five Star Home Health Care Agency,Brooklyn,Home Health Agency
1821275801,NY,The Royal Care Inc,Brooklyn,Home Health Agency
1770538001,CA,County Of Fresno,Fresno,Mental Health Clinic/Center (Including Community Mental Health Center)
1457601965,CA,Call The Car,Pasadena,Non-emergency Medical Transport (VAN)
1063812105,NY,Abi Fi Corp,Flushing,Home Health Agency
1952346876,TX,"Aoc Tx, LLC",Sherman,Case Management Agency
1932106010,NY,"Personal Touch Home Care Of New York, Inc",Long Island City,Home Health Agency
1730244294,NY,"Bestcare, Inc",Levittown,Home Health Agency
1649363342,NY,"Americare, Inc.",Brooklyn,Home Health Agency
1265926687,NY,Friends And Family Home Care Services,New York,Home Health Agency
1366479099,CA,Unilab Corporation,West Hills,Clinical Medical Laboratory
1194165985,NY,"Community Health Aide Services, Inc.",Monsey,Home Health Agency
1558672279,CA,"Natera, Inc.",San Carlos,Clinical Medical Laboratory
1730491945,NY,"City Medical Of Upper East Side, PLLC",New York,Urgent Care Clinic/Center
1225255375,CA,County Of San Diego,San Diego,Case Manager/Care Coordinator
1447488721,NY,"Bnv Home Care Agency, Inc.",Rego Park,Home Health Agency
1801027404,TX,"Consumer Directed Services In Texas, Inc.",San Antonio,Case Management Agency
1518259035,NY,Astra Home Care,Brooklyn,Home Health Agency
1508199258,CA,County Of Ventura,Oxnard,Community/Behavioral Health Agency
1497933162,CA,"Millennium Health, LLC",San Diego,Clinical Medical Laboratory
1003953803,NY,Home Health Care Services Of Ny,Brooklyn,Home Health Agency
1508025370,NY,Amazing Home Care Services LLC,Bronx,Home Health Agency
1184841926,NY,"Chinese-American Planning Council Home Attendant Program, Inc.",New York,Home Health Agency
1649462169,NY,Attentive Home Care Agency Inc,Brooklyn,Home Health Agency
1427138726,CA,Contra Costa County,Martinez,Community/Behavioral Health Agency
1558781559,NY,"X-Treme Home Care, Inc.",Bayside,Voluntary or Charitable Agency
1275665457,NY,New York Network Ipa Inc,Brooklyn,Exclusive Provider Organization
1487721155,NY,"Community Home Care Referral Service, Inc.",Brooklyn,Home Health Agency
1881708899,CA,Shield California Health Care Center Inc,Valencia,Durable Medical Equipment & Medical Supplies
1841302445,NY,People Care Incorporated,Brooklyn,Home Health Agency
1619969458,NY,Sun River Health Inc.,Peekskill,Case Management Agency
1326170796,NY,"All Metro Home Care Services Of New York, Inc.",Lynbrook,Home Health Agency
1639473580,NY,"The Doral Investors Group, LLC Dba House Calls Home Care",Brooklyn,Home Health Agency
1689712481,TX,Caregivers Home Health Tx Inc,Richardson,Home Health Agency
1568658821,CA,County Of Kern,Bakersfield,Counselor
1275849283,CA,"Dap Health, Inc.",Desert Hot Springs,Family Medicine Physician
1013377431,NY,"S & A Unified Home Care, Inc.",Brooklyn,Home Health Agency
1194832477,NY,The New York And Presbyterian Hospital,New York,Case Management Agency
1467832584,NY,"Marks Home Care Agency Of Ny, Inc",Rego Park,Home Health Agency
1295842508,NY,Alliance For Health,Brooklyn,Home Health Agency
1477921609,NY,Golden Touch Home Health LLC,New York,Home Health Agency
1740556844,NY,Longevity Health Services LLC,Flushing,Home Health Agency
1417002007,NY,"Ultimate Care, Inc.",Brooklyn,Home Health Agency
1205378379,NY,"True Family Care Services, LLC",Brooklyn,Home Health Agency
1730451071,NY,"Coordinated Behavioral Care, Inc",New York,Case Management Agency
1679524961,TX,"Legacy Community Health Services, Inc",Houston,Pediatrics Physician
1962432682,TX,"Advance Hi-Tech Nursing, Inc.",San Antonio,Developmentally Disabled Services Day Training Agency
1063525152,NY,Montefiore Medical Center,Bronx,Anesthesiology Physician
1841739752,NY,Committed Home Care Inc.,Monroe,Home Health Agency
1750769345,NY,"Caring Professionals, Inc.",Forest Hills,Home Health Agency
1780921387,NY,Js Home Care Agency Of Ny,Brooklyn,Home Health Agency
1053688572,NY,North Shore-Lij Medical PC,Great Neck,Urology Physician
1114931391,TX,Department Of State Health Services,Austin,Clinical Medical Laboratory
1841476009,NY,Infiniti Home Care Inc,Forest Hills,Home Health Agency
1215934005,NY,New York Health Care Inc,Valley Stream,Home Health Agency
1285641514,NY,Long Island Jewish Medical Center,New Hyde Park,General Acute Care Hospital
1346285657,NY,University Of Rochester,Rochester,General Acute Care Hospital
1083715460,NY,New York City Health And Hospitals Corporation,Brooklyn,Land Ambulance
1336560390,NY,Elite Choice LLC,Brooklyn,Home Health Agency
1871651588,NY,"South Shore Home Health Service, Inc.",Ronkonkoma,Home Health Agency
1891227203,NY,Dhcare Ny LLC,Jamaica,Home Health Agency
1588157424,CA,"Bhpn, LLC",Walnut Creek,Behavior Analyst
1417349622,NY,The Collaborative For Children And Families,New York,Case Manager/Care Coordinator
1497014252,NY,Advantage Management Associates Inc.,Brooklyn,Home Health Agency
1417027558,NY,Bronxcare Health System,Bronx,General Acute Care Hospital
1235677162,NY,Link Homecare-Cdpap LLC.,South Ozone Park,Home Health Agency
1619363678,NY,"Horizon Home Care Services, Inc.",Bronx,Home Health Agency
