pidx,Year,Patient services,Claim lines,Paid (dollars),YoY growth (percent)
51888,2018,196,516,40626,
51888,2019,66,170,13391,-67.0
51888,2020,25,73,5750,-57.1
51888,2021,91,294,23158,302.7
51888,2022,113,379,29854,28.9
51888,2023,50,156,12352,-58.6
5915,2018,3430,6569,1407657,
5915,2019,2834,6657,1730636,22.9
5915,2020,2377,4884,1561353,-9.8
5915,2021,1937,3842,1211038,-22.4
5915,2022,1620,3209,868912,-28.3
5915,2023,1519,2792,787237,-9.4
5915,2024,1197,1499,458598,-41.7
41799,2019,103,330,32500,
41799,2020,150,598,59322,82.5
41799,2021,177,731,81712,37.7
41799,2022,136,575,63686,-22.1
34838,2018,3239,3247,47100,
34838,2019,3242,3252,37851,-19.6
34838,2020,3452,3467,70351,85.9
34838,2021,4300,4356,88417,25.7
34838,2022,3579,3633,73388,-17.0
34838,2023,4611,4746,65466,-10.8
34838,2024,5209,5304,81,-99.9
51788,2018,161,195,9878,
51788,2019,19,21,1006,-89.8
51788,2020,79,86,3877,285.4
51788,2021,337,382,21387,451.7
51788,2022,480,552,33822,58.1
51788,2023,431,473,26819,-20.7
51788,2024,478,525,29225,9.0
21183,2018,1710,2031,115353,
21183,2019,2935,3423,215945,87.2
21183,2020,2020,2162,119377,-44.7
21183,2021,1789,1831,110342,-7.6
21183,2022,3069,3277,152702,38.4
21183,2023,3001,3126,167461,9.7
21183,2024,4165,4336,242980,45.1
22218,2020,389,535,20436,
22218,2021,3921,6022,209197,923.7
22218,2022,5928,9137,289978,38.6
22218,2023,5702,9760,256471,-11.6
22218,2024,5149,9846,250901,-2.2
47557,2018,76,76,1982,
47557,2019,123,138,4566,130.4
47557,2020,14,14,771,-83.1
47557,2023,2416,2892,131721,
47557,2024,493,547,24745,-81.2
26817,2019,114,376,37454,
26817,2020,298,1039,134078,258.0
26817,2021,341,1009,122051,-9.0
26817,2022,308,691,89512,-26.7
26817,2023,727,2400,184797,106.5
26817,2024,374,1547,130136,-29.6
11659,2021,151,352,14155,
11659,2022,353,1447,849943,5904.3
11659,2023,467,4353,1127008,32.6
11659,2024,481,4854,1203375,6.8
41339,2018,923,1182,29524,
41339,2019,1080,1197,41860,41.8
41339,2020,568,594,20037,-52.1
41339,2021,964,1042,42181,110.5
41339,2022,1176,1251,51077,21.1
41339,2023,663,686,27159,-46.8
41339,2024,748,803,32973,21.4
21644,2018,4097,7042,130255,
21644,2019,3035,5331,118158,-9.3
21644,2020,1825,3308,78903,-33.2
21644,2021,2638,4627,121575,54.1
21644,2022,2888,5030,144187,18.6
21644,2023,2799,4847,197222,36.8
21644,2024,3191,5519,288780,46.4
49326,2018,452,684,19683,
49326,2019,419,655,21670,10.1
49326,2020,441,661,22289,2.9
49326,2021,455,672,21383,-4.1
49326,2022,482,699,24617,15.1
49326,2023,445,717,23437,-4.8
49326,2024,290,431,13905,-40.7
1240,2018,47300,57242,5493029,
1240,2019,48869,58570,4955135,-9.8
1240,2020,54678,70342,5050735,1.9
1240,2021,57355,91306,8443167,67.2
1240,2022,46140,67178,5888237,-30.3
1240,2023,53647,70490,5894975,0.1
1240,2024,46249,56671,5538610,-6.0
30005,2018,2478,7115,116749,
30005,2019,2055,6112,101566,-13.0
30005,2020,1399,4333,70641,-30.4
30005,2021,1911,6074,100126,41.7
30005,2022,2554,6318,101201,1.1
30005,2023,2354,5745,53425,-47.2
30005,2024,63,195,0,-100.0
53202,2021,424,443,27720,
53202,2022,918,945,67334,142.9
53202,2023,246,250,20182,-70.0
19994,2018,10198,16368,228556,
19994,2019,9014,14607,230102,0.7
19994,2020,4959,8542,131121,-43.0
19994,2021,5747,10440,148971,13.6
19994,2022,5400,9940,202871,36.2
19994,2023,4860,8703,170809,-15.8
19994,2024,3973,7306,143902,-15.8
7716,2019,1928,3510,311422,
7716,2020,5542,11873,1037917,233.3
7716,2021,6047,13524,1187853,14.4
7716,2022,5817,13162,1358310,14.4
7716,2023,5196,12035,1355092,-0.2
7716,2024,2109,4222,506187,-62.6
12990,2018,3916,5191,294196,
12990,2019,3493,4901,350073,19.0
12990,2020,2854,4043,290055,-17.1
12990,2021,1532,1791,178537,-38.4
12990,2022,3687,4982,588231,229.5
12990,2023,3908,5286,680744,15.7
12990,2024,1544,1990,299944,-55.9
30108,2018,3976,4324,229929,
30108,2019,5253,5494,291123,26.6
30108,2020,290,303,18509,-93.6
15524,2018,951,955,29121,
15524,2019,1737,1747,54038,85.6
15524,2020,1005,1008,31420,-41.9
15524,2021,2059,2083,385204,1126.0
15524,2022,2354,2472,659244,71.1
15524,2023,2568,2614,380095,-42.3
15524,2024,2238,2261,457137,20.3
4773,2018,25,25,636,
4773,2020,12052,16158,330579,
4773,2021,104487,143098,2524266,663.6
4773,2022,123017,198933,2772912,9.9
4773,2023,124724,194826,3012480,8.6
4773,2024,71235,105772,1797516,-40.3
45961,2018,570,573,17581,
45961,2019,750,754,23553,34.0
45961,2020,774,779,22259,-5.5
45961,2021,1108,1111,27939,25.5
45961,2022,863,865,22836,-18.3
45961,2023,1181,1191,36276,58.9
45961,2024,822,848,30500,-15.9
54552,2023,141,200,5412,
54552,2024,2716,3594,100592,1758.7
22821,2018,2283,4832,215791,
22821,2019,1771,2979,118234,-45.2
22821,2020,1508,2358,100696,-14.8
22821,2021,1640,3192,89639,-11.0
22821,2022,1753,3242,105350,17.5
22821,2023,3328,6840,210142,99.5
22821,2024,2379,5329,131688,-37.3
29707,2023,13302,16137,494459,
29707,2024,2062,2507,61333,-87.6
13798,2021,566,8113,454903,
13798,2022,417,4526,575651,26.5
13798,2023,481,3153,697033,21.1
13798,2024,371,2386,694753,-0.3
26008,2020,128,510,49525,
26008,2021,247,1179,120800,143.9
26008,2022,258,1151,114870,-4.9
26008,2023,611,2731,267146,132.6
26008,2024,461,1922,193670,-27.5
29287,2018,625,755,22890,
29287,2019,1211,1404,45437,98.5
29287,2020,2455,2824,69235,52.4
29287,2021,3784,4379,126108,82.1
29287,2022,3734,4725,116163,-7.9
29287,2023,3777,4957,115754,-0.4
29287,2024,2856,3507,77102,-33.4
6909,2018,2548,11242,2534321,
6909,2019,1059,5186,646323,-74.5
6909,2020,1063,8220,861965,33.4
6909,2021,1070,9167,643385,-25.4
6909,2022,993,7833,659175,2.5
6909,2023,2227,9775,865163,31.2
6909,2024,1862,7819,408516,-52.8
14376,2018,6769,11865,421448,
14376,2019,5293,8910,245417,-41.8
14376,2020,5560,8279,270399,10.2
14376,2021,6960,10772,313643,16.0
14376,2022,4690,8013,266034,-15.2
14376,2023,3918,6626,302656,13.8
14376,2024,3872,6349,441954,46.0
29280,2018,14,27,1906,
29280,2019,79,294,47841,2409.7
29280,2020,573,1750,197456,312.7
29280,2021,657,1720,178461,-9.6
29280,2022,92,249,22867,-87.2
29280,2023,649,1209,82733,261.8
29280,2024,294,517,41663,-49.6
16555,2018,3862,3869,478328,
16555,2019,3588,3594,402035,-15.9
16555,2020,2767,2772,294878,-26.7
16555,2021,2317,2317,228833,-22.4
16555,2022,1347,1347,145124,-36.6
16555,2023,1349,1363,129736,-10.6
16555,2024,1071,1072,98844,-23.8
1196,2018,35,40,1255,
1196,2019,12592,23177,2629656,209402.6
1196,2020,37961,79425,8916188,239.1
1196,2021,39048,82915,9359875,5.0
1196,2022,35127,74977,10259121,9.6
1196,2023,30034,65051,8709330,-15.1
1196,2024,10481,21243,2823900,-67.6
46950,2018,239,261,543,
46950,2019,364,381,34204,6203.7
46950,2020,315,335,27264,-20.3
46950,2021,288,316,32976,21.0
46950,2022,250,260,25178,-23.6
46950,2023,276,307,49874,98.1
2514,2018,3647,7188,3283902,
2514,2019,3407,26354,3245483,-1.2
2514,2020,3135,60498,3094046,-4.7
2514,2021,2895,55311,2898230,-6.3
2514,2022,2429,49509,2955818,2.0
2514,2023,1983,38487,2297045,-22.3
2514,2024,1777,36560,2572781,12.0
37380,2018,655,794,60882,
37380,2019,716,838,61662,1.3
37380,2020,268,321,35627,-42.2
37380,2021,334,435,49839,39.9
37380,2022,316,387,40516,-18.7
37380,2023,297,361,40464,-0.1
37380,2024,249,315,31528,-22.1
18682,2018,8210,11279,223574,
18682,2019,6851,9587,222859,-0.3
18682,2020,5315,7539,165357,-25.8
18682,2021,5415,7813,174514,5.5
18682,2022,5544,7924,233208,33.6
18682,2023,5100,7089,206922,-11.3
18682,2024,4484,6541,200948,-2.9
37035,2020,524,623,9597,
37035,2021,1422,1672,46386,383.3
37035,2022,2102,2795,96575,108.2
37035,2023,2374,3300,111458,15.4
37035,2024,1552,1988,64031,-42.6
8674,2018,2128,3516,376868,
8674,2019,2217,3740,410794,9.0
8674,2020,2555,4075,425070,3.5
8674,2021,4995,8235,948238,123.1
8674,2022,5412,8758,1003597,5.8
8674,2023,5333,8756,1008633,0.5
8674,2024,3901,6544,754855,-25.2
50660,2018,954,1595,35496,
50660,2019,872,1474,64046,80.4
