State,Year,Paid (dollars),Avg enrollment
CA,2018,30261616228,12029515
CA,2019,31172686907,11720837
CA,2020,31755751911,11919004
CA,2021,37019925838,12924391
CA,2022,38395223234,13701418
CA,2023,46314513892,14200010
CA,2024,43980907267,13579544
NY,2018,17574687974,6140127
NY,2019,29145945087,6082415
NY,2020,39441398136,6296506
NY,2021,45273676302,6891406
NY,2022,51563703181,7240736
NY,2023,55711867299,7443678
NY,2024,50111196283,6790627
TX,2018,3663790485,4371919
TX,2019,3907160640,4225110
TX,2020,7205328207,4485048
TX,2021,22192697907,5064804
TX,2022,25676227749,5558143
TX,2023,26217000727,5476451
TX,2024,23453259817,4292085
