State,Rank,Provider,NPI,City,Specialty,Total paid 2018-2024 (dollars),Claim lines
CA,1,LOS ANGELES COUNTY DEPARTMENT OF MENTAL HEALTH,1699703827,LOS ANGELES,Mental Health Clinic/Center (Including Community Mental Health Center),6778307307,30870728.0
CA,2,COUNTY OF SANTA CLARA,1528263910,SAN JOSE,Community/Behavioral Health Agency,1728488470,4656180.0
CA,3,COUNTY OF RIVERSIDE,1447261540,RIVERSIDE,Community/Behavioral Health Agency,1398872947,8714487.0
CA,4,CITY & COUNTY OF SAN FRANCISCO,1417099789,SAN FRANCISCO,Community/Behavioral Health Agency,1344107027,6184641.0
CA,5,LOS ANGELES COUNTY DEPARTMENT OF PUBLIC HEALTH,1700090834,ALHAMBRA,Public Health or Welfare Agency,1124767125,14958866.0
CA,6,ALAMEDA COUNTY BEHAVIORAL HEALTH CARE,1659402303,OAKLAND,Community/Behavioral Health Agency,1068135217,6138414.0
CA,7,COUNTY OF SAN BERNARDINO,1194934471,SAN BERNARDINO,Mental Health Clinic/Center (Including Community Mental Health Center),1053412935,6532233.0
CA,8,COUNTY OF SACRAMENTO,1043386659,SACRAMENTO,Case Manager/Care Coordinator,903118399,4320009.0
CA,9,COUNTY OF ORANGE,1104963347,SANTA ANA,Case Management Agency,806489148,4933243.0
CA,10,COUNTY OF FRESNO,1770538001,FRESNO,Mental Health Clinic/Center (Including Community Mental Health Center),728100559,3034872.0
CA,11,CALL THE CAR,1457601965,PASADENA,Non-emergency Medical Transport (VAN),723935831,26605830.0
CA,12,UNILAB CORPORATION,1366479099,WEST HILLS,Clinical Medical Laboratory,668525152,111634658.0
CA,13,"NATERA, INC.",1558672279,SAN CARLOS,Clinical Medical Laboratory,658747358,7481233.0
CA,14,COUNTY OF SAN DIEGO,1225255375,SAN DIEGO,Case Manager/Care Coordinator,642442849,5455258.0
CA,15,COUNTY OF VENTURA,1508199258,OXNARD,Community/Behavioral Health Agency,598191618,3115618.0
CA,16,"MILLENNIUM HEALTH, LLC",1497933162,SAN DIEGO,Clinical Medical Laboratory,593764093,31333003.0
CA,17,CONTRA COSTA COUNTY,1427138726,MARTINEZ,Community/Behavioral Health Agency,536555424,3177254.0
CA,18,SHIELD CALIFORNIA HEALTH CARE CENTER INC,1881708899,VALENCIA,Durable Medical Equipment & Medical Supplies,521689362,10302998.0
CA,19,COUNTY OF KERN,1568658821,BAKERSFIELD,Counselor,473346834,4275144.0
CA,20,"DAP HEALTH, INC.",1275849283,DESERT HOT SPRINGS,Family Medicine Physician,462989658,1868256.0
NY,1,PUBLIC PARTNERSHIPS LLC,1417262056,LATHAM,Case Management Agency,7189224069,90026110.0
NY,2,FREEDOM CARE LLC,1922467554,NEW HYDE PARK,Home Health Agency,3025558256,21993090.0
NY,3,AMERICAN BUSINESS INSTITUTE CORP,1962650622,FLUSHING,Home Health Agency,1682387584,11238167.0
NY,4,PREMIER HOME HEALTH CARE SERVICES INC,1720151046,NEW YORK,Home Health Agency,1476253393,7927724.0
NY,5,ASSISTCAREHOME HEALTHCARE SERVICES,1396051694,BROOKLYN,Home Health Agency,1442351848,9386375.0
NY,6,NAE EDISON LLC,1780816991,BROOKLYN,Home Health Agency,1107194094,6913628.0
