project,city,country,cost_per_mile_millions_usd,years_built,pct_tunneled_or_type
East Side Access,New York,USA,8126,2007-2022,100
Second Avenue Subway Phase 2 (projected),New York,USA,4300,2019-2029,100
Second Avenue Subway Phase 1,New York,USA,3714,2007-2016,100
Crossrail (Elizabeth Line),London,UK,1838,2009-2021,100
Fukutoshin Line,Tokyo,Japan,539,2001-2008,100
Grand Paris Express,Paris,France,501,2017-2030,80
Cityringen (City Circle Line),Copenhagen,Denmark,466,2009-2019,100
Metro Line 14,Paris,France,427,1993-2007,100
Line M4,Milan,Italy,278,2015-2024,100
Sinbundang Line Phase 1,Seoul,South Korea,239,2005-2011,100
Madrid 1999-2003 expansion program,Madrid,Spain,146,1999-2003,77
