seq,station_area,borough,subway_connections,note
1,Brooklyn Army Terminal,Brooklyn,none,Southwest terminus on Sunset Park waterfront near NYC Ferry
2,Fourth Avenue,Brooklyn,R,Bay Ridge / Sunset Park border; at Bay Ridge Av (R); N nearby on Fourth Av line
3,Eighth Avenue,Brooklyn,N,Sunset Park / Dyker Heights; at Eighth Av (Sea Beach N)
4,New Utrecht Avenue,Brooklyn,D N,Borough Park / Bensonhurst; at 62 St-New Utrecht Av complex
5,McDonald Avenue,Brooklyn,F,Borough Park / Kensington-Midwood edge; at Avenue I (F); southern anchor of McDonald Ave rezoning corridor
6,East 16th Street,Brooklyn,Q,Midwood; at Avenue H on Brighton line (B express passes nearby); near southern end of Coney Island Ave rezoning corridor
7,Flatbush Avenue-Nostrand Avenue,Brooklyn,2 5,Flatbush near Brooklyn College
8,Utica Avenue,Brooklyn,none,East Flatbush; B46 bus corridor
9,Remsen Avenue,Brooklyn,none,East Flatbush / Canarsie border
10,Linden Boulevard,Brooklyn,L,East New York; near New Lots Av (L)
11,Livonia Avenue,Brooklyn,3,Brownsville / East New York; near Junius St (3) and Livonia Av (L)
12,Atlantic Avenue,Brooklyn,A C J L Z,East New York at Broadway Junction; route bends from eastbound to northbound here
13,Wilson Avenue,Brooklyn,L,Bushwick
14,Myrtle Avenue,Queens,M,Ridgewood / Glendale near Brooklyn-Queens border
15,Metropolitan Avenue,Queens,M,Middle Village; at Middle Village-Metropolitan Av (M)
16,Eliot Avenue,Queens,none,Middle Village / Maspeth
17,Grand Avenue,Queens,none,Maspeth
18,Roosevelt Avenue,Queens,7 E F M R,Northeast terminus at Jackson Heights-Roosevelt Av/74 St complex
