state,snap_participation_rate_pct_fy2019
Delaware,100
Illinois,100
Massachusetts,100
New Mexico,100
Oregon,100
Pennsylvania,100
Rhode Island,100
Vermont,100
Washington,100
Wisconsin,100
District of Columbia,97
West Virginia,96
Connecticut,95
Nevada,94
Iowa,92
Maryland,91
Michigan,90
Ohio,90
Oklahoma,90
Alaska,89
New York,89
Hawaii,88
Tennessee,88
Missouri,85
Colorado,84
South Dakota,84
Montana,83
Nebraska,83
Idaho,82
New Hampshire,82
Florida,81
Maine,81
Alabama,80
Minnesota,80
New Jersey,80
Utah,79
Georgia,78
Virginia,78
Arizona,76
North Carolina,76
South Carolina,74
Indiana,73
Texas,73
Kansas,71
California,70
North Dakota,70
Kentucky,69
Mississippi,65
Arkansas,64
Wyoming,55
